layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.3200373649597168,-0.405367910861969
1,0.5561497326203209,0.385626882314682,0.5221143960952759,0.7195590138435364,-0.3026307225227356
2,0.5240641711229946,0.31771740317344666,0.4238866865634918,0.766726553440094,-0.4708265960216522
3,0.5454545454545454,0.1857427954673767,0.19156107306480408,0.7661858201026917,-0.6712327599525452
4,0.5454545454545454,0.15992796421051025,0.10636784881353378,0.7659593224525452,-0.5922675728797913
5,0.5401069518716577,0.17292092740535736,-0.04253500699996948,0.7659392952919006,-0.23391427099704742
6,0.625668449197861,0.20852726697921753,0.15816308557987213,0.3642033636569977,-0.27374908328056335
7,0.6203208556149733,0.2684202492237091,0.18622437119483948,0.3648836612701416,0.03983958065509796
8,0.6256684491978609,0.2812233865261078,0.16447800397872925,0.33391058444976807,0.09221674501895905
9,0.6203208556149733,0.2651776671409607,0.07133766263723373,0.33303797245025635,-0.5540372729301453
10,0.6256684491978609,0.23503363132476807,0.06167558953166008,0.3095175623893738,0.1597399115562439
11,0.6096256684491979,0.21703669428825378,0.07333479076623917,0.3426555395126343,-0.5354276895523071
12,0.6256684491978609,0.18991424143314362,0.08517073839902878,0.31697848439216614,-0.027609743177890778
13,0.6417112299465241,0.16177180409431458,0.06191636249423027,0.355373740196228,-0.10070013999938965
14,0.625668449197861,0.14542534947395325,0.0893065482378006,0.37654730677604675,-0.4114316403865814
15,0.6684491978609626,0.1256563365459442,0.061249762773513794,0.3209868371486664,-0.07624191790819168
16,0.6310160427807486,0.12896446883678436,0.010635917074978352,0.26679885387420654,-0.07368394732475281
