layer,accuracy,silhouette,polar_consistency_mean,contradiction_index_mean,bias
0,0.5026737967914439,0.0,0.0,0.3200373649597168,-0.405367910861969
1,0.5935828877005348,0.43011099100112915,-0.2233443707227707,0.5689751505851746,-0.3655115067958832
2,0.5828877005347594,0.387763112783432,-0.051395539194345474,0.5429621338844299,-0.3709348142147064
3,0.5935828877005348,0.33119168877601624,-0.10748305916786194,0.5948629975318909,-0.3751102089881897
4,0.5935828877005348,0.2631818950176239,0.06956008821725845,0.6153230667114258,-0.37275272607803345
5,0.5935828877005348,0.2686777412891388,-0.04094671830534935,0.6253149509429932,-0.37297123670578003
6,0.6684491978609626,0.3101010322570801,-0.17053082585334778,0.6560676097869873,-0.3690049350261688
7,0.6737967914438503,0.32902002334594727,-0.11677968502044678,0.6625676155090332,-0.3753478229045868
8,0.6898395721925134,0.3233036994934082,-0.21276143193244934,0.6314529180526733,-0.3746947944164276
9,0.6256684491978609,0.1242905780673027,0.011654593981802464,0.4293665885925293,-0.3667955994606018
10,0.6203208556149733,0.0713285431265831,0.09194817394018173,0.42192357778549194,-0.35541948676109314
11,0.6096256684491979,0.06557004898786545,0.1518847495317459,0.35061973333358765,-0.345950186252594
12,0.6310160427807486,0.0556521899998188,0.1398346722126007,0.3616204261779785,-0.3393349349498749
13,0.6310160427807486,0.05501149967312813,0.16461843252182007,0.36450350284576416,-0.3400299549102783
14,0.6310160427807486,0.055003564804792404,0.16383406519889832,0.36585983633995056,-0.34000635147094727
15,0.6310160427807486,0.05520071089267731,0.1709408462047577,0.36397507786750793,-0.33909592032432556
16,0.6310160427807487,0.09349366277456284,0.13201603293418884,0.4140862822532654,-0.34474697709083557
